source_horse_name,canonical_horse_id,canonical_horse_name,identity_status,evidence_reference,evidence_sha256
15701920,RCOM_HORSE_5324742,Triple Triple,APPROVED,C:/Users/trent/OneDrive/Documents/EDGEIQ_PLATFORM/outputs/performance-intelligence/racingcom-source-discovery/raw/network-capture/net_1eacaaf039_0098_59a322bec18810f3.json#runner_id=15701920,bb82ef1b20127ee9b5ef72375306c2391e8f324de9f8e7342b771697cdcc1a0f
15713342,RCOM_HORSE_5289533,Queen Of Tuscany,APPROVED,C:/Users/trent/OneDrive/Documents/EDGEIQ_PLATFORM/outputs/performance-intelligence/racingcom-source-discovery/raw/network-capture/net_1eacaaf039_0098_59a322bec18810f3.json#runner_id=15713342,82367a90a17e46afcbe08e807f96cbeb94537efcd1caac6d87afbefb3c9bc5bc
15713423,RCOM_HORSE_5331799,Swift Circle,APPROVED,C:/Users/trent/OneDrive/Documents/EDGEIQ_PLATFORM/outputs/performance-intelligence/racingcom-source-discovery/raw/network-capture/net_1eacaaf039_0098_59a322bec18810f3.json#runner_id=15713423,cb431466f7dac1c030dcc2edfb4cdc7a03cfdd41e048dfca73690fff54f1d0bd
15714008,RCOM_HORSE_5315275,Claymore Mine,APPROVED,C:/Users/trent/OneDrive/Documents/EDGEIQ_PLATFORM/outputs/performance-intelligence/racingcom-source-discovery/raw/network-capture/net_1eacaaf039_0098_59a322bec18810f3.json#runner_id=15714008,dd73eae0ee08968ead860d094f7224d1b2d511e7603996fd9a3df7de450ebda7
15714009,RCOM_HORSE_5342692,Cresta Crystal,APPROVED,C:/Users/trent/OneDrive/Documents/EDGEIQ_PLATFORM/outputs/performance-intelligence/racingcom-source-discovery/raw/network-capture/net_1eacaaf039_0098_59a322bec18810f3.json#runner_id=15714009,eb3d6919e835a3bece5be840b2ecdc514588eb67cb48a9a39cf9e84eab1b01b8
15714130,RCOM_HORSE_5252692,Blondeau,APPROVED,C:/Users/trent/OneDrive/Documents/EDGEIQ_PLATFORM/outputs/performance-intelligence/racingcom-source-discovery/raw/network-capture/net_1eacaaf039_0098_59a322bec18810f3.json#runner_id=15714130,8a783e0957b16826954c3cd4ad9a6506839b67590d03e0f6b4e9df54d435baca
15715052,RCOM_HORSE_5312478,Quebeck,APPROVED,C:/Users/trent/OneDrive/Documents/EDGEIQ_PLATFORM/outputs/performance-intelligence/racingcom-source-discovery/raw/network-capture/net_1eacaaf039_0098_59a322bec18810f3.json#runner_id=15715052,b511fed14e0ce8ef03a54282c33960c52b8e54ccf08e77ea0f4ab6588ba3f65f
15716866,RCOM_HORSE_5339834,Banknote Hustler,APPROVED,C:/Users/trent/OneDrive/Documents/EDGEIQ_PLATFORM/outputs/performance-intelligence/racingcom-source-discovery/raw/network-capture/net_1eacaaf039_0098_59a322bec18810f3.json#runner_id=15716866,b39bb0ded708b8fa5f573cda88785aae09e73fc78a36bb1b705198c7abc8157c
15716867,RCOM_HORSE_5339873,Aloisi,APPROVED,C:/Users/trent/OneDrive/Documents/EDGEIQ_PLATFORM/outputs/performance-intelligence/racingcom-source-discovery/raw/network-capture/net_1eacaaf039_0098_59a322bec18810f3.json#runner_id=15716867,d64500e5a65f9580e464c0ba37978b48731c673872ce847f4833e052ff4b7dcd
15717705,RCOM_HORSE_5308393,Gallant Prince,APPROVED,C:/Users/trent/OneDrive/Documents/EDGEIQ_PLATFORM/outputs/performance-intelligence/racingcom-source-discovery/raw/network-capture/net_1eacaaf039_0098_59a322bec18810f3.json#runner_id=15717705,1ab0ee444f23607152817cfa9b47d1a34ab8112d4b0e4600f104be06198d2728
15718048,RCOM_HORSE_5355744,Aitu,APPROVED,C:/Users/trent/OneDrive/Documents/EDGEIQ_PLATFORM/outputs/performance-intelligence/racingcom-source-discovery/raw/network-capture/net_1eacaaf039_0098_59a322bec18810f3.json#runner_id=15718048,bb8cdafc82d4a2b7097e080129ff91626b772462dea3236360f239741635ff5f
15718050,RCOM_HORSE_5346431,Pro Velocity,APPROVED,C:/Users/trent/OneDrive/Documents/EDGEIQ_PLATFORM/outputs/performance-intelligence/racingcom-source-discovery/raw/network-capture/net_1eacaaf039_0098_59a322bec18810f3.json#runner_id=15718050,e8ffac6f15f3c715a8f4fb7ff77dd10cbf7ac2e9b1e6cc6e6a98601999cb7d7b
